Atom,Element,Coordination,bond ri (Å),angle θ0 (deg),distance,energy,scale ζ,charge Zi,Source,,Vi,Uj,Xi,Hardness,Radius
Ac6+3,Ac,6,1.983,90,3.478,0.033,12,3.9,UFF,,0,0,2.835,2.835,2.108
Ag1+1,Ag,2,1.386,180,3.148,0.036,12,1.956,UFF,,0,0.2,4.436,3.134,1.622
Ag1f1,Ag,2,1.22,180,3.148,0.036,12,1.956,UFF4MOF2,,,,,,
Ag2f2,Ag,3,1.34,120,3.148,0.036,12,1.956,UFF4MOF2,,,,,,
Ag3f2,Ag,4,1.48,109.47,3.148,0.036,12,1.956,UFF4MOF2,,,,,,
Ag4f2,Ag,4,1.51,90,3.148,0.036,12,1.956,UFF4MOF2,,,,,,
Al3,Al,4,1.244,109.47,4.499,0.505,11.278,1.792,UFF,,0,1.25,4.06,3.59,1.201
Al3f2,Al,4,1.28,109.47,4.499,0.505,11.278,1.792,UFF4MOF2,,,,,,
Al6+3,Al,6,1.22,90,4.499,0.505,11.278,1.792,UFF4MOF,,,,,,
Am6+4,Am,6,1.66,90,3.381,0.014,12,3.9,UFF,,0,0,2.9895,3.0035,1.942
Ar4+4,Ar,4,1.032,90,3.868,0.185,15.763,0.3,UFF,,0,1.25,9.465,6.355,2.108
As3+3,As,4,1.211,92.1,4.23,0.309,13,2.864,UFF,,1.5,0.7,5.188,3.809,1.204
At,At,1,1.545,180,4.75,0.284,15,2.24,UFF,,0,0.1,4.75,4.75,1.47
Au1f1,Au,2,1.11,180,3.293,0.039,12,2.625,UFF4MOF2,,,,,,
Au4+3,Au,4,1.262,90,3.293,0.039,12,2.625,UFF,,0,0.1,4.894,2.586,1.618
B_2,B,3,0.828,120,4.083,0.18,12.052,1.755,UFF,,0,2,5.11,4.75,0.822
B_3,B,4,0.838,109.47,4.083,0.18,12.052,1.755,UFF,,0,2,5.11,4.75,0.822
Ba3f2,Ba,4,2.04,109.47,3.703,0.364,12,2.727,UFF4MOF2,,,,,,
Ba6+2,Ba,6,2.277,90,3.703,0.364,12,2.727,UFF,,0,0.1,2.814,2.396,2.442
Be3+2,Be,4,1.074,109.47,2.745,0.085,12,1.565,UFF,,0,2,4.877,4.443,1.24
Bi3+3,Bi,4,1.512,90,4.37,0.518,13,2.47,UFF,,1,0.1,4.69,3.74,1.514
Bk6+3,Bk,6,1.761,90,3.339,0.013,12,3.9,UFF,,0,0,3.1935,3.0355,1.9
Br,Br,1,1.192,180,4.189,0.251,15,2.519,UFF,,0,0.7,7.79,4.425,1.141
C_1,C,2,0.706,180,3.851,0.105,12.73,1.912,UFF,,0,2,5.343,5.063,0.759
C_2,C,3,0.732,120,3.851,0.105,12.73,1.912,UFF,,0,2,5.343,5.063,0.759
C_3,C,4,0.757,109.47,3.851,0.105,12.73,1.912,UFF,,2.119,2,5.343,5.063,0.759
C_R,C,3,0.729,120,3.851,0.105,12.73,1.912,UFF,,0,2,5.343,5.063,0.759
Ca1f1,Ca,4,1.56,180,3.399,0.238,12,2.141,UFF4MOF2,,,,,,
Ca3f2,Ca,4,1.705,109.47,3.399,0.238,12,2.141,UFF4MOF2,,,,,,
Ca6+2,Ca,6,1.761,90,3.399,0.238,12,2.141,UFF,,0,0.7,3.231,2.88,2
Cd1f1,Cd,2,1.4,180,2.848,0.228,12,1.65,UFF4MOF2,,,,,,
Cd3+2,Cd,4,1.403,109.47,2.848,0.228,12,1.65,UFF,,0,0.2,5.034,3.957,1.6
Cd3f2,Cd,4,1.29,109.47,2.848,0.228,12,1.65,UFF4MOF2,,,,,,
Cd4f2,Cd,4,1.46,90,2.848,0.228,12,1.65,UFF4MOF2,,,,,,
Cd8f4,Cd,8,1.64,109.47,2.848,0.228,12,1.65,UFF4MOF2,,,,,,
Ce6+3,Ce,6,1.841,90,3.556,0.013,12,3.3,UFF,,0,0.1,2.774,2.692,1.925
Ce8f4,Ce,8,1.76,109.47,3.556,0.013,12,3.3,UFF4MOF2,,,,,,
Cf6+3,Cf,6,1.75,90,3.313,0.013,12,3.9,UFF,,0,0,3.197,3.101,1.9
Cl,Cl,1,1.044,180,3.947,0.227,14.866,2.348,UFF,,0,1.25,8.564,4.946,0.994
