,sample_id,lDDT-BS_0,lDDT-BS_1,lDDT-BS_2,lDDT-BS_3,lDDT-BS_4,lDDT-BS_5,lDDT-BS_6,lDDT-BS_7,lDDT-BS_8,lDDT-BS_9,lDDT-BS_10,lDDT-BS_11,lDDT-BS_12,lDDT-BS_13,lDDT-BS_14,lDDT-BS_15,lDDT-BS_16,lDDT-BS_17,lDDT-BS_18,lDDT-BS_19,lDDT-BS_20,lDDT-BS_21,lDDT-BS_22,lDDT-BS_23,lDDT-BS_24,lDDT-BS_25,lDDT-BS_26,lDDT-BS_27,lDDT-BS_28,lDDT-BS_29,lDDT-BS_30,lDDT-BS_31,lig_rmsd_0,lig_rmsd_1,lig_rmsd_2,lig_rmsd_3,lig_rmsd_4,lig_rmsd_5,lig_rmsd_6,lig_rmsd_7,lig_rmsd_8,lig_rmsd_9,lig_rmsd_10,lig_rmsd_11,lig_rmsd_12,lig_rmsd_13,lig_rmsd_14,lig_rmsd_15,lig_rmsd_16,lig_rmsd_17,lig_rmsd_18,lig_rmsd_19,lig_rmsd_20,lig_rmsd_21,lig_rmsd_22,lig_rmsd_23,lig_rmsd_24,lig_rmsd_25,lig_rmsd_26,lig_rmsd_27,lig_rmsd_28,lig_rmsd_29,lig_rmsd_30,lig_rmsd_31,clash_0,clash_1,clash_2,clash_3,clash_4,clash_5,clash_6,clash_7,clash_8,clash_9,clash_10,clash_11,clash_12,clash_13,clash_14,clash_15,clash_16,clash_17,clash_18,clash_19,clash_20,clash_21,clash_22,clash_23,clash_24,clash_25,clash_26,clash_27,clash_28,clash_29,clash_30,clash_31
0,6NP2A,0.8856948488637021,0.9076546022766515,0.9042340893494455,0.8870652255259062,0.9091832606415999,0.8847607813383404,0.8976633517365706,0.9198060161189029,0.9018065270624662,0.9191905762019911,0.8858716048692402,0.8925152201401559,0.9227072188728734,0.9088335664648759,0.9194636250797071,0.9229129395986858,0.8391831078027424,0.9261159457658467,0.8973701533518339,0.8987653318204378,0.899937491667898,0.9217530143888373,0.9207511889307123,0.8854298654355501,0.9104710252661454,0.9030706945218538,0.8800164900327984,0.9067706340237668,0.9164276562238994,0.8990621692255923,0.9068538609303927,0.9209924308877242,8.36892,4.72472,3.52319,6.86379,4.60838,7.53294,4.10906,8.00038,6.31224,6.29744,6.92483,6.64503,3.75248,4.23258,6.88096,7.54523,4.6325,7.30998,4.8233,7.67993,5.35079,5.16456,7.142,6.00861,1.98154,5.51756,6.93328,6.38218,5.35885,7.59802,4.58937,3.94166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6UVPA,0.8924803137779236,0.8946249371483213,0.849880066655931,0.8750238503728595,0.8832457321030753,0.895409460578646,0.880933172646023,0.8868684697718847,0.8941659061681657,0.8950351746309371,0.8849541473956335,0.8467943015552702,0.8847618429433732,0.8798237755185082,0.8791123713765826,0.8960822962579273,0.8656527740614754,0.8486197193463644,0.8927066283566611,0.9003479324636006,0.8912954358827501,0.8823214144933791,0.871728926897049,0.9017025729020437,0.8975820285933358,0.8870539125942049,0.8818655099187579,0.8793844807715643,0.8850878775119781,0.8701256769044059,0.894984510682878,0.885729044675827,5.88011,6.67349,4.98322,4.52106,4.35901,7.54756,7.94556,6.34428,5.7173,4.10021,4.28171,4.99086,4.32788,5.70861,5.03999,5.73982,4.47475,3.95106,5.36339,8.87135,5.36742,5.28835,3.82694,6.82062,8.02204,5.05959,4.94047,4.21791,4.70573,4.80318,5.49914,4.66298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,6JSNA,0.8467446054731097,0.8819043721471514,0.8906426032384237,0.8867702427364531,0.8777558945474171,0.895946360769726,0.8766159074647086,0.8890922239848545,0.8883173721177238,0.8900795550573439,0.8905167239052909,0.8886970366750445,0.885116886524927,0.8681698469888597,0.8234619668551854,0.8757164109320867,0.868769265356518,0.8927115939912342,0.8858470235552106,0.8855247894922892,0.9003645153272719,0.8816486398379008,0.840156824815841,0.8873858281544277,0.8899601328940618,0.8930390164965675,0.8261728712490627,0.8920638476099286,0.8803313629967826,0.8943423770722889,0.8895373117356074,0.8926389870189485,9.0488,6.1667,7.25354,7.32817,8.20547,7.42201,3.43318,6.02683,6.614,7.1292,6.56505,7.54368,7.08037,6.09926,11.9746,5.43246,7.03064,7.27237,4.28368,6.61674,6.1081,6.41674,6.99515,3.7066,5.77992,5.00531,10.9137,8.02601,5.94036,7.61144,5.33369,6.74689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6OIOA,0.8764713853597641,0.8618062108755111,0.8207338064908981,0.8596036106348037,0.8343692243099212,0.8905936896800994,0.8726554602384567,0.876939669251442,0.8694669425487518,0.8584776252508164,0.8402551651000977,0.828370475769043,0.8010784447193146,0.8603350430727005,0.8529259204864502,0.8766934216022492,0.8536377429962159,0.8775064140558243,0.8060168623924255,0.8649042636156082,0.8639845997095108,0.8487559616565704,0.8520135760307312,0.8280793875455856,0.8706822752952575,0.8893252521753311,0.8009838476777077,0.8849548459053039,0.8678535282611847,0.7849601849913597,0.851586577296257,0.8710462093353272,3.94786,9.45517,8.31805,9.93006,7.48656,4.8147,4.48341,5.11867,4.82505,4.25366,4.53765,4.85992,5.76386,8.96223,3.81263,5.07336,4.91431,4.51127,4.5089,8.19319,11.8644,4.89682,10.5195,3.92534,4.2776,4.96528,7.44044,8.61464,11.7526,4.6137,6.77401,7.77186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,6E4CA,0.8601904442677131,0.8813086748123169,0.8670491209396949,0.8680740892887115,0.8860792105014508,0.8720667866560129,0.8603966625837179,0.8777899260704334,0.8663760309035962,0.8293275122459118,0.8094238363779508,0.875324187370447,0.8574674908931439,0.8565219778280991,0.8578163798038776,0.8767886551526877,0.8516510220674368,0.8723880717387567,0.8700651411826794,0.8534171879291534,0.8717849002434657,0.8585670361152062,0.861192022378628,0.8652425133264982,0.8612924562050746,0.8759666108168088,0.8738660078782302,0.8699977352068975,0.8616092205047607,0.8388147331201113,0.8622974776304685,0.8760689955491286,7.11239,4.6487,3.44499,4.93592,5.72897,10.0075,4.86052,3.93972,7.44015,2.12631,6.8858,4.98523,6.37268,5.12037,8.58921,5.20307,5.13449,3.33509,8.02394,5.26617,4.4854,5.32643,4.67118,9.16381,5.22345,5.51807,7.03564,6.92144,8.29226,5.17267,6.0194,7.70732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6G24A,0.8183318575223287,0.8560336828231812,0.8566020081440607,0.8417689502239227,0.8560906598965327,0.8420452276865641,0.8152652233839035,0.8576392978429794,0.8289429098367691,0.8260024239619573,0.8417410552501678,0.8391093313694,0.8342716544866562,0.835235983133316,0.8368483533461889,0.8287871032953262,0.8583059012889862,0.8219682822624842,0.8400455216566721,0.8272693852583567,0.8248070726792017,0.8500016331672668,0.8370359043280283,0.8396274695793787,0.8274172395467758,0.8265280177195867,0.8479279180367788,0.8494900415341059,0.8226113518079122,0.8423813233772913,0.849086806178093,0.8508400718371073,6.58771,2.68147,5.1488,6.77041,3.53551,4.97926,4.21213,4.70386,4.62325,6.78282,7.27333,4.50065,7.69586,3.304,9.18102,5.10911,2.89799,6.68635,7.55866,4.58728,10.4912,4.58356,7.08529,6.00533,4.68802,5.77644,4.77222,4.16385,4.53498,5.21896,2.37608,8.93969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6DYZA,0.8720467686653137,0.8729572986301622,0.8670650375516791,0.8839218020439148,0.8187898993492126,0.8767790951226887,0.870239191933682,0.8349115472090872,0.8806527068740443,0.8593146957849201,0.8661628553741857,0.8467836223150554,0.8672371004757128,0.8699758366534585,0.8372161090373993,0.8577636072510167,0.865341969226536,0.8700193605924907,0.8740164888532538,0.8600212021877891,0.8617811971589139,0.8809538013056705,0.8487245785562616,0.8358895543374514,0.8244491345004031,0.8648133811197782,0.854133582428882,0.8542084223345706,0.864346698710793,0.8625252623307077,0.877474634270919,0.8529329676377145,5.37632,6.90962,4.1813,2.65567,5.15617,3.17735,6.43126,2.8129,5.61571,7.32087,6.88164,3.21395,6.86011,7.08927,11.5544,6.98239,7.24197,7.46243,2.87589,9.00029,3.73856,3.30869,5.73483,6.82804,4.44316,4.93151,8.21273,7.3005,5.85249,7.30418,6.93629,7.48734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,5ZE6A,0.8340978696942329,0.8540852256119251,0.848253671079874,0.8580809459090233,0.827227920293808,0.8484804183244705,0.8193324357271194,0.8513455204665661,0.8470030091702938,0.8608692288398743,0.8261553607881069,0.8313381187617779,0.8137161396443844,0.8463177010416985,0.8212517015635967,0.8564083687961102,0.8277558051049709,0.8642383068799973,0.8239501491189003,0.8183397315442562,0.8626783080399036,0.8352270275354385,0.8047514408826828,0.8316854350268841,0.83552485704422,0.7968226950615644,0.811546266078949,0.8222294747829437,0.8055582232773304,0.8343160301446915,0.8557629808783531,0.8519792333245277,13.3008,5.08697,6.54068,9.15918,11.0939,13.5701,11.4699,5.45003,8.17155,2.80516,4.28419,9.18894,11.7706,8.44155,10.992,12.3905,13.4878,13.3833,3.12393,12.9834,12.5757,13.5824,5.44807,11.6486,9.90029,10.4966,11.8352,14.088,11.3104,11.9962,10.7359,6.10726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,6A6KA,0.7269464976021222,0.7756771626217025,0.7338835937636239,0.7467593486819949,0.7754687336938721,0.7851745028580938,0.7647993383663041,0.7505106234124729,0.718550331890583,0.7757855749555996,0.7395024257046836,0.7674697541764804,0.7282197635088649,0.7415787109306881,0.7526984342506954,0.734600013920239,0.7515520921775273,0.7239272945693561,0.7449127031224114,0.740696811250278,0.7266304610030991,0.7692539010729108,0.7793995695454734,0.7721612091575351,0.7840109808104379,0.7636495040995734,0.7475900586162295,0.7448320984840393,0.7781272881797382,0.7570732203977448,0.73618355180536,0.7746789668287549,8.56647,10.6474,7.42228,8.17997,5.15212,15.0076,7.8773,4.41073,7.01888,8.09442,8.66767,5.22966,10.7102,7.18358,3.44072,6.48395,8.697,9.31802,6.40447,10.8031,8.30625,6.09689,12.2604,7.07046,10.0032,11.2994,4.12849,6.31666,11.5025,10.4235,10.7225,11.4122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,6E3ZA,0.8907800912857056,0.8944177895784378,0.8574476659297943,0.8674716114997864,0.9039902269840241,0.9030706584453583,0.9130569934844971,0.9057785511016846,0.9011483877897263,0.8850365906953812,0.9039876729249954,0.9050146132707596,0.8737776935100555,0.8562761545181274,0.9037595361471176,0.8936358600854873,0.9019262909889221,0.9015511006116868,0.9096990883350372,0.8690312325954437,0.8708014607429504,0.8570115178823471,0.8974333673715591,0.8881982266902924,0.857485419511795,0.8844105929136277,0.9094406396150589,0.9092558741569519,0.9056815922260284,0.8616785287857056,0.8608212798833847,0.908313649892807,6.21988,4.6041,6.57289,5.62999,6.24653,3.49768,4.6137,4.56876,6.59778,7.56365,6.46691,8.27993,4.90391,7.11826,6.64482,6.64505,4.92525,5.63749,4.83941,4.62654,8.50655,7.73178,7.6983,6.57064,7.53272,6.92171,4.13771,7.67789,5.99671,7.00743,5.11886,6.06012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
